"TIME","Pais","Generalist_medical_practitioners","Specialist_medical_practitioners","General_paediatricians","AGE_Total","AGE_Less_35","AGE_35_44","AGE_45_54","AGE_55_64"
2013,"Finland",6849,10049,703,18355,3945,4318,3528,4932
2013,"Sweden",6201,21174,1015,17931,3571,4399,5258,4703
2013,"Iceland",188,706,15,38817,7223,10037,8220,9058
2013,"Liechtenstein",37,83,5,1168,187,189,312,334
2013,"Norway",4437,8765,707,120,2,28,41,33
2013,"Switzerland",8986,18945,1548,21874,5753,5964,4302,4070
2013,"United Kingdom",49875,124110,9432,32681,3749,8707,9461,8105
2013,"Montenegro",241,1107,165,172792,57455,51666,40496,19679
2013,"North Macedonia",2017,3787,400,1348,243,425,429,251
2013,"Albania",7371,2087,147,5804,1060,1323,1680,1741
2013,"Serbia",6480,15768,1983,22248,3231,6442,7229,5216
2013,"Turkey",41040,92735,6792,133775,42233,40910,29170,11832
2014,"Belgium",12560,20389,1429,33353,2615,7878,8180,9487
2014,"Bulgaria",4747,24054,1459,28801,2351,4005,10294,8598
2014,"Czechia",7371,31238,1296,38624,7298,8631,8656,9797
2014,"Denmark",4495,9597,435,21882,4118,6034,4457,5081
2014,"Germany (until 1990 former territory of the FRG)",80226,252469,13322,332695,64989,40315,83991,128499
2014,"Estonia",1057,3361,167,4418,782,632,1070,1180
2014,"Ireland",8214,5753,419,14029,3565,4063,3283,2238
2014,"Greece",4307,51520,3963,63906,9586,22159,14793,12902
2014,"Spain",34880,113206,12070,176665,34833,45166,47300,43200
2014,"France",94322,111837,7724,206159,22338,38500,52448,71403
2014,"Croatia",3502,9800,798,13302,2837,3020,3394,3453
2014,"Italy",53463,182426,17495,235889,19918,38584,55725,99546
2014,"Cyprus",680,2200,238,2880,313,654,690,830
2014,"Latvia",1394,5018,256,6412,835,906,1785,1797
2014,"Lithuania",2769,9862,778,13510,2962,2068,3198,3464
2014,"Luxembourg",489,1113,84,1603,71,365,534,491
2014,"Hungary",7096,25615,2371,32791,5674,5698,7101,8232
2014,"Malta",346,798,68,1566,667,283,353,175
2014,"Netherlands",25611,32151,1645,57762,16729,14077,12348,12274
2014,"Austria",14130,22902,1340,43126,6716,11067,12103,10261
2014,"Poland",13744,73943,5143,87687,2615,6034,8180,8598
2014,"Portugal",23748,23725,1914,46036,2615,6034,8180,8598
2014,"Romania",15740,37980,2501,53720,15721,13193,11887,11133
2014,"Slovenia",1284,4278,574,5712,1342,1476,1379,1216
2014,"Finland",7167,10775,720,18574,4026,4268,3609,4883
2014,"Sweden",6270,21600,1002,18526,3903,4510,5308,4805
2014,"Iceland",188,722,15,39839,7571,10477,8343,8759
2014,"Liechtenstein",34,85,5,1193,195,189,303,345
2014,"Norway",4595,9203,744,119,2,27,43,34
2014,"Switzerland",9225,19639,1635,22754,5912,6400,4452,4095
2014,"United Kingdom",50595,127025,9841,33785,4142,8821,9576,8298
2014,"Montenegro",245,1125,163,176135,58326,52646,41161,19839
2014,"North Macedonia",2112,3923,396,1370,247,436,400,287
2014,"Albania",4747,2087,1429,6035,1168,1389,1566,1912
2014,"Serbia",6440,15460,1911,21900,3056,6468,6972,5310
2014,"Turkey",41542,94074,6780,135616,42251,40008,30618,12570
2015,"Belgium",12693,20881,1482,34020,2926,7781,8192,9502
2015,"Bulgaria",4517,24521,1420,29038,2943,3709,9456,9061
2015,"Czechia",7371,31405,1296,38776,7430,8631,8656,9797
2015,"Denmark",4571,9857,436,22332,4272,6291,4352,5127
2015,"Germany (until 1990 former territory of the FRG)",78601,259528,13621,338129,66887,40947,81804,130999
2015,"Estonia",1052,3440,172,4492,834,609,1047,1200
2015,"Ireland",8610,6011,421,14666,3969,4093,3354,2310
2015,"Greece",4396,51596,4035,63866,9947,21457,15295,12991
2015,"Spain",34735,115392,12067,178600,34733,44333,44167,48800
2015,"France",94262,113527,7873,207789,24232,39090,49892,70762
2015,"Croatia",3248,10182,827,13430,3265,3009,3415,3384
2015,"Italy",53610,179492,17211,233102,19081,38725,51097,99188
2015,"Cyprus",735,2311,242,3046,311,704,687,879
2015,"Latvia",1379,4945,246,6324,904,809,1692,1842
2015,"Lithuania",2819,9786,760,13490,3169,2007,3058,3468
2015,"Luxembourg",498,1158,91,1657,63,390,522,517
2015,"Hungary",7096,25615,2371,30486,6203,5591,6332,7524
2015,"Malta",349,891,74,1636,717,295,334,205
2015,"Netherlands",26490,32654,1681,59144,17502,14451,12259,12324
2015,"Austria",14275,23702,1383,44002,7280,11504,11898,10492
2015,"Poland",14618,73819,5210,88437,2943,6291,8192,9061
2015,"Portugal",24940,24296,1973,47792,2943,6291,8192,9061
2015,"Romania",15270,39537,2566,54807,16155,13601,12085,11115
2015,"Slovenia",1364,4272,587,5830,1409,1505,1347,1280
