"TIME","Pais","Gasto_Cuidado_Rehabilitacion","Gasto_Cuidado_Rehabilitacion_Ingresados","Gasto_Hospitales","Gasto_Hospitales_Mentales","Gasto_Hospitales_Especiales"
2014,"Cyprus",774.98,355.29,532.4,13.16,78.27
2014,"Latvia",639.95,277.25,434.22,34.31,55.14
2014,"Lithuania",1156.42,620.63,764.54,15.84,109.95
2014,"Luxembourg",1476.95,679.1,835.3,41.34,54.55
2014,"Hungary",3929.24,2013.92,2734.63,6.23,227.03
2014,"Malta",376.51,166.27,338.87,23.49,22.65
2014,"Netherlands",34753.59,13325.17,22805.43,3903.16,969.18
2014,"Austria",20359.57,11420.73,13230.37,173.28,1556.8
2014,"Poland",15478.29,8686.14,9118.38,420.95,484.43
2014,"Portugal",10326.97,2871.5,6534.82,118.99,272.77
2014,"Romania",3609.32,2012.98,2882.08,96.88,509.61
2014,"Slovenia",1806.74,909.69,1298.77,47.46,229.39
2014,"Slovakia",2665.54,1438.34,1722.69,33.15,28.25
2014,"Finland",11601.48,4898.13,6792.78,6.5,272.77
2014,"Sweden",24917.07,10023.74,18591.09,173.28,272.77
2014,"Iceland",640.73,296.62,423.01,0,0
2014,"Liechtenstein",177.86,79.23,24.15,0,0
2014,"Norway",17380.66,9504.69,13965.69,3251.34,0
2014,"Switzerland",32149.92,15616.07,21552.72,1730.91,2406.47
2014,"United Kingdom",126551.13,53271.07,93210.11,173.28,272.77
2014,"Bosnia and Herzegovina",763.08,410.5,475.8,3.67,29.79
2015,"Belgium",22854.28,12506.76,15096.53,1856.47,77.65
2015,"Bulgaria",1772.37,1093.12,1248,22.86,258.99
2015,"Czechia",6545.97,2971.72,5018.38,176.87,364.78
2015,"Denmark",15549.91,7395.51,12379.85,1142.88,0
2015,"Germany (until 1990 former territory of the FRG)",171570,91745,97518,176.87,9277
2015,"Estonia",761.67,318.69,622.76,3.64,26.9
2015,"Ireland",10517.81,4804.78,6975.5,287.89,766.83
2015,"Greece",8550.44,5960.18,6299.07,373.66,522.11
2015,"Spain",56626.05,24584.31,42652.57,808.73,2212.12
2015,"France",134453.25,70207.39,96783.74,13631.18,391.59
2015,"Croatia",1717.67,751.96,1373.33,51.38,99.13
2015,"Italy",80893,40457,66174,176.87,258.99
2015,"Cyprus",764.97,352.27,562.58,11.92,53.51
2015,"Latvia",684.05,291.9,452.04,35.8,66.22
2015,"Lithuania",1263.17,676.13,831.93,17.56,110.37
2015,"Luxembourg",1510.06,694.41,854.65,42.09,55.26
2015,"Hungary",4079.23,2126.88,2866.07,6.74,227.2
2015,"Malta",442.28,207.39,385.21,25.38,26.81
2015,"Netherlands",36288.42,13760.32,24063.72,3648.33,999.5
2015,"Austria",20938.29,11692.4,13572.45,176.87,1573.97
2015,"Poland",16730.01,9266.42,9728.21,427.51,529.04
2015,"Portugal",10606.94,2838.54,6770.32,120.17,258.99
2015,"Romania",3840.77,2144.43,3025.65,91.16,473.66
2015,"Slovenia",1910.05,910.51,1359.81,51.01,244.51
2015,"Slovakia",2826.82,1534.61,1845.95,29.75,36.47
2015,"Finland",12110.96,4779.58,7145.47,5.57,258.99
2015,"Sweden",25406.53,10134.28,18941.68,176.87,258.99
2015,"Iceland",741.36,358.94,489.11,0,0
2015,"Liechtenstein",198.57,88.96,28.53,0,0
2015,"Norway",17653.53,9517.86,14337.4,3417.69,0
2015,"Switzerland",38192.22,18431.69,25422.52,2008.44,2913.02
2015,"United Kingdom",147533,61834.43,108694.5,176.87,258.99
2015,"Bosnia and Herzegovina",783.79,426.21,489.73,3.71,31.07
2016,"Belgium",23230.08,12542.78,15224.8,1781.23,77.17
2016,"Bulgaria",1879.4,1194.02,1341.83,23.26,282.27
2016,"Czechia",6664.54,3022.05,5139.26,205.3,398.87
2016,"Denmark",16039.1,7567.56,12713.06,1179.08,0
2016,"Germany (until 1990 former territory of the FRG)",177997,95154,101081,205.3,9452
2016,"Estonia",801.69,325.4,658.97,3.54,30.95
2016,"Ireland",11098.78,5077.71,7423.47,294.31,804
2016,"Greece",8789.69,6073.26,6439.5,273.15,516.65
2016,"Spain",57015.64,24863.61,43189.04,800.23,2196.31
2016,"France",137331.85,71128.52,98738.77,13782.25,409.4
2016,"Croatia",1775.08,694.3,1431.11,49.69,105.2
2016,"Italy",81316,40885,67258,205.3,282.27
2016,"Cyprus",793.1,362.46,580.36,10.65,57.08
2016,"Latvia",770.7,299.19,490.9,37.43,74.94
2016,"Lithuania",1369.89,762.91,908.02,15.64,78.54
2016,"Luxembourg",1568.48,710.18,890.15,45.74,56.22
2016,"Hungary",4263.11,2223.5,3038.21,8.98,246.8
2016,"Malta",473.58,220.38,395.11,25.57,25.49
2016,"Netherlands",37660,14026,24856,3954,1036
2016,"Austria",21826.74,12093.24,14175.07,205.3,1673.66
2016,"Poland",16868.7,9277.32,9692.38,420.61,505.05
2016,"Portugal",11295.58,3033.75,7220.07,126.57,282.27
2016,"Romania",4270.49,2478.92,3397.76,104.78,499.7
2016,"Slovenia",2000.78,968.36,1441.49,53.39,257.28
2016,"Slovakia",2923.72,1555.87,1811.33,33.29,11.29
2016,"Finland",12026.84,4685.47,7180.12,5.3,282.27
2016,"Sweden",26025.3,10180.91,19468.58,205.3,282.27
2016,"Iceland",901.45,418.24,587.37,0,0
2016,"Liechtenstein",202.63,94.64,27.85,0,0
2016,"Norway",17616.95,9533.83,14147.96,3310.23,0
2016,"Switzerland",39001.85,18671.73,26104.38,2051.63,3135.16
